Name,Release,Duration,Class
139. The Truman Show,1998,1h 43m,PG
140. There Will Be Blood,2007,2h 38m,R
141. Shutter Island,2010,2h 18m,R
142. Casino,1995,2h 58m,R
143. Ran,1985,2h 40m,R
144. Jurassic Park,1993,2h 7mP,G-13
145. The Sixth Sense,1999,1h 47m,PG-13
146. El laberinto del fauno,2006,1h 58m,R
147. Unforgiven,1992,2h 10m,R
148. A Beautiful Mind,2001,2h 15m,PG-13
149. No Country for Old Men,2007,2h 2mR,
150. The Treasure of the Sierra Madre,1948,2h 6mP,assed
151. Yôjinbô,1961,1h 50m,Not Rated
152. The Thing,1982,1h 49m,R
153. Kill Bill: Vol. 1,2003,1h 51m,R
154. Monty Python and the Holy Grail,1975,1h 31m,PG
155. The Great Escape,1963,2h 52m,Approved
156. Finding Nemo,2003,1h 40m,G
157. Rashômon,1950,1h 28m,Not Rated
158. The Elephant Man,1980,2h 4mP,G
159. Hauru no ugoku shiro,2004,1h 59m,PG
160. Chinatown,1974,2h 10m,R
161. Prisoners,2013,2h 33m,R
162. Dial M for Murder,1954,1h 45m,PG
163. Gone with the Wind,1939,3h 58m,Passed
164. V for Vendetta,2005,2h 12m,R
"165. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R
166. El secreto de sus ojos,2009,2h 9mR,
167. Raging Bull,1980,2h 9mR,
168. Inside Out,2015,1h 35m,PG
"169. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R
170. Trainspotting,1996,1h 33m,R
171. The Bridge on the River Kwai,1957,2h 41m,PG
172. Spider-Man: No Way Home,2021,2h 28m,PG-13
173. Fargo,1996,1h 38m,R
174. Gojira -1.0,2023,2h 4mP,G-13
175. Warrior,2011,2h 20m,PG-13
176. Klaus,2019,1h 36m,PG
177. Catch Me If You Can,2002,2h 21m,PG-13
178. Gran Torino,2008,1h 56m,R
179. Tonari no Totoro,1988,1h 26m,G
180. Million Dollar Baby,2004,2h 12m,PG-13
181. Harry Potter and the Deathly Hallows - Part 2,2011,2h 10m,PG-13
182. Bacheha-Ye aseman,1997,1h 29m,PG
183. Blade Runner,1982,1h 57m,R
184. 12 Years a Slave,2013,2h 14m,R
185. Before Sunrise,1995,1h 41m,R
186. The Grand Budapest Hotel,2014,1h 39m,R
187. Ben-Hur,1959,3h 32m,G
188. Barry Lyndon,1975,3h 5mP,G
189. Gone Girl,2014,2h 29m,R
190. The Gold Rush,1925,1h 35m,Passed
191. Hacksaw Ridge,2016,2h 19m,R
192. In the Name of the Father,1993,2h 13m,R
193. Salinui chueok,2003,2h 11m,Not Rated
194. On the Waterfront,1954,1h 48m,Approved
195. The General,1926,1h 18m,Passed
196. The Deer Hunter,1978,3h 3mR,
197. Dead Poets Society,1989,2h 8mP,G
198. Relatos salvajes,2014,2h 2mR,
199. Mad Max: Fury Road,2015,2hR,
200. Smultronstället,1957,1h 31m,Not Rated
201. Sherlock Jr.,1924,45mPas,sed
202. The Third Man,1949,1h 44m,Approved
203. Le salaire de la peur,1953,2h 11m,Not Rated
"204. Monsters, Inc.",2001,1h 32m,G
205. Jaws,1975,2h 4mP,G
206. How to Train Your Dragon,2010,1h 38m,PG
207. Mr. Smith Goes to Washington,1939,2h 9mP,assed
208. Mary and Max.,2009,1h 32m,Not Rated
209. Ford v Ferrari,2019,2h 32m,PG-13
210. Ratatouille,2007,1h 51m,G
211. Det sjunde inseglet,1957,1h 36m,Not Rated
212. Room,2015,1h 58m,R
213. The Big Lebowski,1998,1h 57m,R
214. Tôkyô monogatari,1953,2h 16m,Not Rated
215. Rocky,1976,2hPG,
216. Hotel Rwanda,2004,2h 1mP,G-13
217. Logan,2017,2h 17m,R
218. Spotlight,2015,2h 9mR,
219. Platoon,1986,2hR,
220. La passion de Jeanne d'Arc,1928,1h 50m,Passed
221. The Terminator,1984,1h 47m,R
222. Jai Bhim,2021,2h 44m,TV-MA
223. Before Sunset,2004,1h 20m,R
224. The Best Years of Our Lives,1946,2h 50m,Approved
225. La haine,1995,1h 38m,Not Rated
226. Rush,2013,2h 3mR,
227. Network,1976,2h 1mR,
228. The Exorcist,1973,2h 2mR,
229. Stand by Me,1986,1h 29m,R
230. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13
231. The Wizard of Oz,1939,1h 42m,G
232. The Incredibles,2004,1h 55m,PG
233. Into the Wild,2007,2h 28m,R
234. Hachi: A Dog's Tale,2009,1h 33m,G
235. Ah-ga-ssi,2016,2h 25m,Not Rated
236. To Be or Not to Be,1942,1h 39m,Passed
237. Babam ve Oglum,2005,1h 52m,Not Rated
238. The Grapes of Wrath,1940,2h 9mP,assed
239. La battaglia di Algeri,1966,2h 1mN,ot Rated
240. Groundhog Day,1993,1h 41m,PG
241. The Sound of Music,1965,2h 52m,G
242. Amores perros,2000,2h 34m,R
243. Rebecca,1940,2h 10m,Approved
244. Cool Hand Luke,1967,2h 7mG,P
245. The Iron Giant,1999,1h 26m,PG
246. The Help,2011,2h 26m,PG-13
247. It Happened One Night,1934,1h 45m,Passed
248. Les quatre cents coups,1959,1h 39m,Not Rated
249. Drishyam,2015,2h 43m,Not Rated
250. Aladdin,1992,1h 30m,G
